Lag_TR,Pearson_r
-10,-0.00708368344338671
-9,-0.0610185848187483
-8,-0.120986926317116
-7,-0.101855131834123
-6,-0.108345113817484
-5,-0.0539565445010969
-4,-0.0502881680334727
-3,-0.014321587193401
-2,-0.0749204251870632
-1,0.00179654565025497
0,0.0799686788900574
1,0.108813123348228
2,0.130497043086544
3,0.134764595123998
4,0.171214312652557
5,0.16882298713986
6,0.111320528546257
7,0.0699450519664805
8,0.0354130775887615
9,-0.0143701658980055
10,-0.0208797301309672
