time,pupil,NE
9.625e-05,0.93587167583118,0.0680262660497972
0.033394815,0.939998529047556,0.0584032692938026
0.066693315,0.932176557745865,0.0493414500760917
0.099991815,0.923604391140313,0.0558709469600851
0.133290315,0.916731616503192,0.0438831686728357
0.166588875,0.917263008316079,0.0440128688451521
0.199887375,0.919284220519317,0.0367580175496608
0.23318594,0.921949497675618,0.0357044812375865
0.26648444,0.919903351782012,0.0299578610964608
0.299783,0.916382271832166,0.0281325718297666
0.3330815,0.911560762430469,0.0177941339361638
0.366380065,0.910122087840187,0.0283592556795678
0.399678625,0.910223624797047,0.0219844025597901
0.432977125,0.912097477429196,0.0266878456631986
0.46627569,0.911394798337277,0.0228231479708081
0.49957425,0.90885646258177,0.0188788114539841
0.532872815,0.903781530956763,0.0229074050730653
0.566171375,0.900191673258819,0.0235359754869041
0.59946994,0.898864614090655,0.0215610654238776
0.6327685,0.901197623292945,0.0291095072627774
0.666067065,0.90495155745587,0.0198180963266421
0.699365625,0.907083640251881,0.035412797083195
0.73266419,0.905777890029669,0.015928198181644
0.76596275,0.899270128410073,0.0181456911468633
0.799261375,0.891792201147338,0.0376818798413161
0.83255994,0.884213496675957,0.0520124401461094
0.8658585,0.880159720258258,0.0409141661680534
0.899157065,0.877152680261392,0.0543826382243771
0.93245569,0.874923263914778,0.0499938552103132
0.965754315,0.869310047009263,0.0525672805911408
0.999052875,0.862137213678053,0.0561913038694721
1.0323515,0.853170492177076,0.0514162861155235
1.065650125,0.848581890332714,0.0500420761074969
1.09894869,0.848399167142375,0.0377324824554033
1.132247315,0.855182405827996,0.048286694582982
1.16554594,0.86753578717693,0.0480985968903035
1.1988445,0.880269816496501,0.0503415419232168
1.232143125,0.891625021741466,0.0614701045739464
1.26544175,0.898020617192689,0.0585204757748826
1.298740375,0.902661397485312,0.0535084605565261
1.332039,0.905756236348301,0.0596202473798324
1.365337625,0.910707061183113,0.0521668426108009
1.39863625,0.916545245056812,0.056747047748938
1.431934875,0.923421704313663,0.0552071578277248
1.4652335,0.92825872424944,0.0610856601525838
1.49853219,0.931403448868042,0.0601829080422973
1.531830815,0.931932488246781,0.0512349941157051
1.56512944,0.931286105190132,0.0522246712921148
1.598428125,0.930570873203495,0.0541073955212743
1.63172675,0.930231980299905,0.0623855260428448
1.66502544,0.929218520137935,0.0525272548923298
1.698324065,0.927125883588023,0.053401056507918
1.73162269,0.923055080532866,0.061559463813834
1.764921375,0.917529504320833,0.0590586375698947
1.798220065,0.912313519672933,0.0555090254751753
1.83151869,0.908454811986819,0.0582435703853101
1.864817375,0.907741072408058,0.0497807547371965
1.898116065,0.908194390023538,0.0461437666923684
1.93141475,0.909645198195901,0.0443633885477654
1.964713375,0.90922005009566,0.0441708251719917
1.998012065,0.907461887907154,0.0465847639684896
2.03131075,0.903709727180239,0.0498809359126189
2.06460944,0.90024777270444,0.0547263228607173
2.09790819,0.897979897335778,0.0534632025834873
2.131206875,0.898240940239961,0.0502088304618135
2.164505565,0.901002300452614,0.0438084188144379
2.19780425,0.904082650400176,0.0461615603249006
2.23110294,0.906522582468088,0.0534037115239511
2.264401625,0.905502401022918,0.0489895554942343
2.297700375,0.902514958537105,0.0376761878986208
2.330999065,0.896935728170566,0.0456610661490766
2.36429775,0.891293227346861,0.0484374241152363
2.3975965,0.886413957672805,0.0526738383013052
2.43089519,0.883363859609331,0.0559036615069522
2.46419394,0.881974357173599,0.0488219220059135
2.49749269,0.881102470609971,0.0589734173196766
2.530791375,0.880456962539541,0.0526436899345695
2.564090125,0.880276118057654,0.057558378607857
2.597388875,0.881016402549068,0.0506692034626915
2.630687625,0.883693586551761,0.054438529424354
2.663986315,0.889048517093862,0.0634726917946582
2.697285065,0.895323638405541,0.0504694368384872
2.730583815,0.902119971521068,0.05555757041705
2.763882565,0.906788420667392,0.0566712963913188
2.797181315,0.909801701692347,0.0636572971807994
2.830480065,0.910116840267361,0.0688078037217214
2.863778815,0.907999886307567,0.05345720983055
2.897077625,0.904281564750976,0.0557801379774476
2.930376375,0.898198346479743,0.0516490418808101
2.963675125,0.889213283593447,0.0543939840412679
2.996973875,0.879186471893583,0.0613427310508429
3.03027269,0.868566527011597,0.0623784204609259
3.06357144,0.861907801263878,0.0630959220371001
3.09687019,0.858450802890918,0.0552487068446668
3.130169,0.86041118642518,0.0573353677429353
3.16346775,0.863770954521574,0.0569459728980839
3.196766565,0.865822410203762,0.0674915429467347
3.230065375,0.863327358809059,0.0692621729155748
3.263364125,0.856433736712662,0.0701891451065287
3.29666294,0.849669795827307,0.0677547872792846
3.32996175,0.846751962377709,0.0848135191671268
3.363260565,0.855215396401156,0.0995437530842259
3.396559315,0.870021973481842,0.104124392380898
3.429858125,0.892839810727355,0.0855870767695627
3.46315694,0.913242808769882,0.085858387455448
3.49645575,0.929587080222003,0.0955990331517771
3.529754565,0.936693291775021,0.0946509615581235
3.56305344,0.937273004053678,0.098024926097136
3.59635225,0.936299615768018,0.100952405571559
3.629651065,0.936670477118916,0.0970625511369254
3.662949875,0.941620125678179,0.0853921345102059
3.69624869,0.948409725838551,0.0804609150690024
3.729547565,0.956325930427253,0.0909873691099468
3.762846375,0.961702387866352,0.0940894078850398
3.79614519,0.965754673439316,0.089872236364379
3.829444065,0.968325391104409,0.0877285752664205
3.862742875,0.97276269016528,0.0869587404780063
3.89604175,0.978596568434398,0.0888598879995535
3.929340565,0.986763821553762,0.0758993117834168
3.96263944,0.994260475428487,0.0702677535969176
3.995938315,1.00049144008411,0.0787854795072311
4.02923719,1.00357575304601,0.0718523161799131
4.062536,1.0042782980969,0.0867872194043597
4.095834875,1.00408781938502,0.074631819960686
4.12913375,1.00362796689706,0.0795545280930069
