time,pupil,Ach
2.794e-05,1.03906316615452,0.109587737531662
0.033327315,1.05086818785958,0.111105064697041
0.06662675,1.04150742906502,0.123531216775628
0.099926125,1.03674919396735,0.114649138599762
0.133225565,1.0398271815393,0.105190730534205
0.16652494,1.05208411510709,0.108037842683294
0.199824375,1.05928173778291,0.104635574504927
0.23312375,1.05896889466125,0.103961020433877
0.26642319,1.04621784356697,0.109018776061673
0.299722565,1.035919952518,0.099498416461684
0.333022,1.03012448953546,0.110187528791175
0.36632144,1.0384045687343,0.101960471856003
0.399620815,1.04696469948143,0.104459408374572
0.43292025,1.05441793104954,0.113502247019688
0.46621969,1.04793699533927,0.10631164884041
0.499519065,1.03864228880146,0.0973266507381718
0.5328185,1.02706286737904,0.114793786764061
0.56611794,1.0277602316588,0.102686396975152
0.599417375,1.03402812342312,0.108022569071372
0.632716815,1.04654609254629,0.107799622474961
0.66601619,1.05346072719651,0.10859340082
0.699315625,1.05505069683078,0.100029042877917
0.732615065,1.04988644143891,0.105686298264904
0.7659145,1.04535411982996,0.096637847445515
0.79921394,1.04555672481608,0.0981108760286185
0.832513375,1.0523870308493,0.0961401525016646
0.865812815,1.06493194923679,0.0897892208902946
0.89911225,1.07602864621677,0.0919140901367184
0.93241169,1.08425699048296,0.0971069171603878
0.965711125,1.08597691998759,0.0993338379309146
0.999010565,1.08634817712318,0.0962341627038101
1.03231,1.08570493235848,0.0967984566323425
1.06560944,1.08574617610228,0.104359917313979
1.098908875,1.08516335018679,0.0936933027798531
1.132208315,1.08355741477271,0.0913873794215334
1.16550775,1.08011776840874,0.10118976862499
1.19880725,1.07723694717704,0.0913294027723349
1.23210669,1.0754828897885,0.0962128004516199
1.265406125,1.07702064692564,0.0927309261956691
1.298705625,1.07885145656828,0.0936429681970979
1.332005065,1.08057217453757,0.100636222312753
1.3653045,1.07858475092888,0.0988979103903798
1.398604,1.07518098177307,0.103685897525471
1.43190344,1.07026313672712,0.0968719988027673
1.465202875,1.06713510224929,0.0939462988959523
1.498502375,1.06539189527925,0.0965106727425632
1.531801815,1.06546446674611,0.0950591978080259
1.565101315,1.06581591768972,0.0925222663719857
1.59840075,1.06606442188923,0.0950484327985746
1.63170025,1.06609777341669,0.0903988367361267
1.66499969,1.06912526246991,0.0870330962019634
1.69829919,1.07514302748754,0.0936827254225086
1.731598625,1.0853112395337,0.0925470539471045
1.764898125,1.09960959556719,0.101108466448644
1.798197625,1.11377025777368,0.0949753021462823
1.831497065,1.12684266420174,0.098893192053066
1.864796565,1.1336537566575,0.0972926328062064
1.898096065,1.13650826795342,0.118882958926668
1.931395565,1.13428130796188,0.0926468124630891
1.964695,1.12687290523003,0.110602206634937
1.9979945,1.1180750224819,0.112720646436044
2.031294,1.10816451966714,0.114508021506746
2.0645935,1.10139149806332,0.105781905190123
2.097893,1.09811927082469,0.0979755356314008
2.1311925,1.09995972995911,0.0978820086425596
2.164492,1.10905577789918,0.105340983746514
2.1977915,1.12015603575502,0.102140268972039
2.231091,1.13285679540227,0.0990774015835059
2.2643905,1.14115037094402,0.105315060325874
2.29769,1.14580344574348,0.100058112637429
2.3309895,1.14533919148617,0.0933270969510123
2.364289,1.14084480905437,0.105606358988486
2.3975885,1.13610140908569,0.110773962614922
2.430888,1.13200628334188,0.09487299909399
2.4641875,1.13115025077742,0.101454784762019
2.497487,1.13175406387508,0.102106433996769
2.5307865,1.13402845101728,0.100661914405311
2.564086065,1.13651001911217,0.113806280271049
2.597385565,1.13869846832398,0.109021578472201
2.630685065,1.1403029385128,0.108503592492575
2.663984625,1.14161603894146,0.11303285785592
2.697284125,1.14330635308466,0.110060227362543
2.730583625,1.14576770028939,0.111621987338134
2.76388319,1.15002672662123,0.110455069925819
2.79718269,1.15483933146164,0.104367207452187
2.83048225,1.16010487301205,0.104714293916732
2.86378175,1.16315347120628,0.102402465037069
2.89708125,1.16435355743797,0.0997232369433746
2.930380815,1.1628363474913,0.0923532474578376
2.963680315,1.16066045783739,0.0970614941312737
2.996979875,1.16023467025326,0.102588925602338
3.03027944,1.16333052039522,0.103690111621525
3.06357894,1.17278872311017,0.0983468218109357
3.0968785,1.18414632070748,0.102357955378654
3.130178,1.19690447780783,0.106942694542513
3.163477565,1.20450314320303,0.108884160441232
3.196777125,1.20804336096027,0.111027303951108
3.23007669,1.20559798647199,0.11726803113447
3.26337619,1.19939659234803,0.117813709165438
3.29667575,1.19317646720424,0.112310895953256
3.329975315,1.18833476406141,0.108628007785429
3.363274875,1.18721454631675,0.120284426422832
3.39657444,1.18766104996049,0.114268124321016
3.429874,1.18977212268232,0.116356992391768
3.463173565,1.19215789414451,0.120946684743793
3.496473065,1.19472115981911,0.115443550891805
3.529772625,1.19753137255497,0.122017152733716
3.56307219,1.20158520932709,0.113955244507621
3.59637175,1.20657064660056,0.112659241546227
3.629671315,1.21294022998283,0.110869169632915
3.662970875,1.2208882197644,0.108161753713051
3.69627044,1.22961050298566,0.120862566248846
3.729570065,1.2392530565712,0.110097790640092
3.762869625,1.24900110196367,0.108006582068213
3.79616919,1.25825762712558,0.111581481117636
3.82946875,1.26643293615657,0.105984901207501
3.862768375,1.27247554314171,0.106626246845977
3.89606794,1.27735191326407,0.111145233785191
3.9293675,1.2807345559904,0.116750512957754
3.962667065,1.28302319199537,0.110791250033514
3.99596669,1.28469280162651,0.113656920157232
4.02926625,1.28555109489626,0.116622908968804
4.062565815,1.28538340408208,0.114342063068913
4.09586544,1.28478876980956,0.120930314962245
4.129165,1.28376966111609,0.106340921222177
4.162464625,1.28285655062411,0.103376508184067
4.19576419,1.28185874801569,0.106928897550583
4.229063815,1.28061776962977,0.105503052148867
4.262363375,1.27802496992032,0.108744545939925
4.295663,1.27453491831138,0.114887335468019
4.328962625,1.26974224440289,0.11031329604698
4.36226219,1.26471658231151,0.11061559500535
4.395561815,1.26010008947256,0.11111537398439
4.428861375,1.2565491220374,0.108811161063258
4.462161,1.2546943004752,0.101084496303577
4.495460625,1.25377327124335,0.109832135589671
4.52876025,1.25405146342981,0.108586659095045
4.562059815,1.2550497477221,0.112501713088075
4.59535944,1.25599325213575,0.102897466364394
4.628659065,1.2563820092697,0.1013496699113
4.66195869,1.25451409973222,0.097858062503041
4.695258315,1.25126377264804,0.10172697768826
4.72855794,1.24608735415545,0.0946741533090076
4.761857565,1.2415234374143,0.0942924747521588
4.79515719,1.23831060485061,0.105781066390403
4.828456815,1.23798885445691,0.0966571088156124
4.86175644,1.23947511527205,0.0970258126388323
4.895056065,1.2403712938099,0.0996706432447191
4.92835569,1.23863354994112,0.103513281838317
